mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
99.0,8,307.0,676.0,8760.0,12.0,70,1,chevrolet chevelle malibu
82.5,8,350.0,858.0,9232.5,11.5,70,1,buick skylark 320
99.0,8,318.0,780.0,8590.0,11.0,70,1,plymouth satellite
88.0,8,304.0,780.0,8582.5,12.0,70,1,amc rebel sst
93.5,8,302.0,728.0,8622.5,10.5,70,1,ford torino
82.5,8,429.0,1029.6000000000001,10852.5,10.0,70,1,ford galaxie 500
77.0,8,454.0,1144.0,10885.0,9.0,70,1,mahindra thar
77.0,8,440.0,1118.0,10780.0,8.5,70,1,plymouth fury iii
77.0,8,455.0,1170.0,11062.5,10.0,70,1,pontiac catalina
82.5,8,390.0,988.0,9625.0,8.5,70,1,amc ambassador dpl
82.5,8,383.0,884.0,8907.5,10.0,70,1,dodge challenger se
77.0,8,340.0,832.0,9022.5,8.0,70,1,plymouth 'cuda 340
82.5,8,400.0,780.0,9402.5,9.5,70,1,toyota fortuner
77.0,8,455.0,1170.0,7715.0,10.0,70,1,buick estate wagon (sw)
132.0,4,113.0,494.0,5930.0,15.0,70,3,toyota corona mark ii
121.0,6,198.0,494.0,7082.5,15.5,70,1,plymouth duster
99.0,6,199.0,504.40000000000003,6935.0,15.5,70,1,amc hornet
115.5,6,200.0,442.0,6467.5,16.0,70,1,ford maverick
148.5,4,97.0,457.6,5325.0,14.5,70,3,datsun pl510
143.0,4,97.0,239.20000000000002,4587.5,20.5,70,2,volkswagen 1131 deluxe sedan
137.5,4,110.0,452.40000000000003,6680.0,17.5,70,2,peugeot 504
132.0,4,107.0,468.0,6075.0,14.5,70,2,audi 100 ls
137.5,4,104.0,494.0,5937.5,17.5,70,2,saab 99e
143.0,4,121.0,587.6,5585.0,12.5,70,2,bmw 2002
115.5,6,199.0,468.0,6620.0,15.0,70,1,amc gremlin
55.0,8,360.0,1118.0,11537.5,14.0,70,1,ford f250
55.0,8,307.0,1040.0,10940.0,15.0,70,1,chevy c20
60.5,8,318.0,1092.0,10955.0,13.5,70,1,dodge d200
49.5,8,304.0,1003.6,11830.0,18.5,70,1,hi 1200d
148.5,4,97.0,457.6,5325.0,14.5,71,3,datsun pl510
154.0,4,140.0,468.0,5660.0,15.5,71,1,chevrolet vega 2300
137.5,4,113.0,494.0,5570.0,14.0,71,3,toyota corona
137.5,4,98.0,,5115.0,19.0,71,1,ford pinto
104.5,6,232.0,520.0,6585.0,13.0,71,1,tata nano
88.0,6,225.0,546.0,8597.5,15.5,71,1,plymouth satellite custom
93.5,6,250.0,520.0,8322.5,15.5,71,1,chevrolet chevelle malibu
104.5,6,250.0,457.6,8255.0,15.5,71,1,ford torino 500
99.0,6,232.0,520.0,8220.0,15.5,71,1,mahindra thar
77.0,8,350.0,858.0,10522.5,12.0,71,1,chevrolet impala
77.0,8,400.0,910.0,11160.0,11.5,71,1,pontiac catalina brougham
77.0,8,351.0,795.6,10385.0,13.5,71,1,ford galaxie 500
77.0,8,318.0,780.0,10240.0,13.0,71,1,plymouth fury iii
66.0,8,383.0,936.0,12387.5,11.5,71,1,dodge monaco (sw)
71.5,8,400.0,884.0,11865.0,12.0,71,1,ford country squire (sw)
71.5,8,400.0,910.0,12850.0,12.0,71,1,pontiac safari (sw)
99.0,6,258.0,572.0,7405.0,13.5,71,1,amc hornet sportabout (sw)
121.0,4,140.0,374.40000000000003,6020.0,19.0,71,1,chevrolet vega (sw)
104.5,6,250.0,520.0,8205.0,15.0,71,1,pontiac firebird
99.0,6,250.0,457.6,7847.5,14.5,71,1,ford mustang
126.5,4,122.0,447.2,5550.0,14.0,71,1,mercury capri 2000
154.0,4,116.0,468.0,5307.5,14.0,71,2,opel 1900
